# XviD 2pass stat file (core version 1.2.2)
# Please do not modify this file

b 4 0 1326 0 4051 307
p 2 0 154 1172 9114 604
b 4 0 1326 0 2637 245
b 4 0 1326 0 2676 221
p 2 0 137 1189 8551 532
b 4 0 1326 0 3490 272
b 4 0 1326 0 3420 254
p 2 0 134 1192 10706 575
b 4 0 1326 0 2980 268
b 4 0 1326 0 2710 257
p 2 1 136 1189 10333 590
b 4 0 1326 0 2512 281
b 4 0 1326 0 2283 301
p 2 0 146 1180 9003 611
b 4 0 1326 0 1743 274
b 4 0 1326 0 174 168
p 2 3 148 1175 7891 652
b 4 0 1326 0 1836 301
p 2 0 159 1167 6861 635
i 2 1326 0 0 33774 4167
b 4 0 1326 0 2116 343
b 4 0 1326 0 1942 348
p 2 0 277 1049 7278 731
b 4 0 1326 0 1819 347
b 4 0 1326 0 1770 346
p 2 0 242 1084 6203 726
b 4 0 1326 0 1745 304
b 4 0 1326 0 1638 282
p 2 0 179 1147 6009 635
b 4 0 1326 0 1488 284
b 4 0 1326 0 1814 317
p 2 0 188 1138 5986 632
b 4 0 1326 0 1579 312
b 4 0 1326 0 1430 288
p 2 0 182 1144 5338 633
b 4 0 1326 0 1325 324
b 4 0 1326 0 1252 289
p 2 0 188 1138 5473 638
b 4 0 1326 0 1300 298
b 4 0 1326 0 1080 290
p 2 0 213 1113 4656 672
b 4 0 1326 0 1111 301
b 4 0 1326 0 1561 318
p 2 0 202 1124 3852 645
b 4 0 1326 0 1225 295
b 4 0 1326 0 1655 319
p 2 0 192 1134 6071 667
b 4 0 1326 0 216 207
b 4 0 1326 0 1624 295
p 2 0 190 1136 5476 665
b 4 0 1326 0 1707 318
b 4 0 1326 0 1978 319
p 2 0 193 1133 5295 659
b 4 0 1326 0 2109 324
b 4 0 1326 0 1926 312
p 2 0 191 1135 5552 641
b 4 0 1326 0 2084 309
b 4 0 1326 0 2155 311
p 2 0 191 1135 6266 652
b 4 0 1326 0 1193 309
b 4 0 1326 0 1219 309
p 2 0 200 1126 6174 653
b 4 0 1326 0 1571 306
b 4 0 1326 0 1616 293
p 2 0 194 1132 6058 663
b 4 0 1326 0 1569 305
b 4 0 1326 0 1322 289
p 2 0 188 1138 4491 646
b 4 0 1326 0 1356 285
b 4 0 1326 0 1487 291
p 2 0 181 1145 5154 648
b 4 0 1326 0 1401 308
b 4 0 1326 0 1583 327
p 2 0 187 1139 6442 661
b 4 0 1326 0 190 190
b 4 0 1326 0 1697 303
p 2 2 184 1140 6105 674
b 4 0 1326 0 217 210
b 4 0 1326 0 1276 285
p 2 0 188 1138 5885 659
b 4 0 1326 0 1594 294
b 4 0 1326 0 1572 315
p 2 0 184 1142 6548 657
b 4 0 1326 0 1766 323
b 4 0 1326 0 1918 311
p 2 1 185 1140 6434 664
b 4 0 1326 0 1781 309
b 4 0 1326 0 2249 296
p 2 0 182 1144 6386 647
b 4 0 1326 0 2306 321
b 4 0 1326 0 2225 306
p 2 0 178 1148 7571 627
b 4 0 1326 0 2190 286
b 4 0 1326 0 2573 289
p 2 0 169 1157 7862 615
b 4 0 1326 0 3028 283
b 4 0 1326 0 3143 270
p 2 0 157 1169 8026 592
b 4 0 1326 0 3447 279
b 4 0 1326 0 3692 266
p 2 0 151 1175 8948 572
b 4 0 1326 0 2154 219
b 4 0 1326 0 2358 203
p 2 0 167 1159 10081 587
b 4 0 1326 0 2291 238
b 4 0 1326 0 2314 240
p 2 0 145 1181 7714 563
b 4 0 1326 0 161 158
b 4 0 1326 0 2049 230
p 2 0 134 1192 8600 570
b 4 0 1326 0 1954 248
b 4 0 1326 0 1954 235
p 2 2 134 1190 8013 580
b 4 0 1326 0 1790 269
b 4 0 1326 0 1938 261
p 2 0 144 1182 8117 612
b 4 0 1326 0 170 167
b 4 0 1326 0 1408 255
p 2 0 147 1179 6527 621
b 4 0 1326 0 1596 244
b 4 0 1326 0 1397 231
p 2 0 145 1181 6387 623
b 4 0 1326 0 1311 259
b 4 0 1326 0 1192 253
p 2 0 148 1178 5527 634
b 4 0 1326 0 1057 256
b 4 0 1326 0 1122 257
p 2 0 147 1179 5636 636
b 4 0 1326 0 1123 265
b 4 0 1326 0 1520 269
p 2 1 161 1164 5883 659
b 4 0 1326 0 176 173
b 4 0 1326 0 1212 253
p 2 0 159 1167 6326 658
b 4 0 1326 0 954 262
b 4 0 1326 0 176 176
p 2 1 165 1160 5580 643
b 4 0 1326 0 1658 277
b 4 0 1326 0 1595 290
p 2 0 176 1150 8059 676
b 4 0 1326 0 1149 270
b 4 0 1326 0 1356 269
p 2 0 174 1152 5864 639
b 4 0 1326 0 1657 297
b 4 0 1326 0 2053 307
p 2 0 173 1153 5940 656
b 4 0 1326 0 1842 270
b 4 0 1326 0 1967 274
p 2 0 166 1160 5949 624
b 4 0 1326 0 1680 280
b 4 0 1326 0 1478 273
p 2 0 168 1158 4740 628
b 4 0 1326 0 1736 286
b 4 0 1326 0 1283 272
p 2 0 171 1155 4996 629
b 4 0 1326 0 1306 265
b 4 0 1326 0 1588 278
p 2 0 170 1156 4396 616
b 4 0 1326 0 1306 308
b 4 0 1326 0 1385 283
p 2 0 177 1149 5492 630
b 4 0 1326 0 1172 304
b 4 0 1326 0 1371 283
p 2 0 189 1137 5637 652
b 4 0 1326 0 1142 269
b 4 0 1326 0 167 167
p 2 0 180 1146 5268 629
b 4 0 1326 0 1975 287
p 2 0 181 1145 5980 653
i 2 1326 0 0 32948 4156
b 4 0 1326 0 1456 303
b 4 0 1326 0 1742 323
p 2 0 271 1055 5321 688
b 4 0 1326 0 1631 347
b 4 0 1326 0 1737 339
p 2 0 236 1090 6781 702
b 4 0 1326 0 1722 284
b 4 0 1326 0 1695 283
p 2 0 173 1153 6140 622
b 4 0 1326 0 1811 306
b 4 0 1326 0 1844 297
p 2 0 183 1143 6719 628
b 4 0 1326 0 1748 313
b 4 0 1326 0 1943 281
p 2 0 175 1151 6812 630
b 4 0 1326 0 2145 294
b 4 0 1326 0 2313 281
p 2 0 170 1156 6901 615
b 4 0 1326 0 2707 282
b 4 0 1326 0 2765 257
p 2 1 157 1168 7096 599
b 4 0 1326 0 3530 277
b 4 0 1326 0 3236 280
p 2 0 148 1178 8323 581
b 4 0 1326 0 2815 231
b 4 0 1326 0 135 132
p 2 0 141 1185 7239 556
b 4 0 1326 0 3102 249
b 4 0 1326 0 3193 238
p 2 0 135 1191 9131 536
b 4 0 1326 0 3085 254
b 4 0 1326 0 3372 269
p 2 0 126 1200 10357 554
b 4 0 1326 0 2685 284
b 4 0 1326 0 3015 309
p 2 0 137 1189 11423 623
b 4 0 1326 0 2026 298
b 4 0 1326 0 2138 297
p 2 4 144 1178 8757 674
b 4 0 1326 0 1848 296
b 4 0 1326 0 1834 295
p 2 0 159 1167 8007 658
b 4 0 1326 0 1638 293
